season_end_year,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,b365h,b365d,b365a,bbavh,bbavd,bbava,psh,psd,psa,o_h,o_d,o_a,imp_h_raw,imp_d_raw,imp_a_raw,overround,p_home,p_draw,p_away
2018,2017-08-26,crystal palace,swansea,0,2,0.9,0.7,1.95,3.5,4.33,NA,NA,NA,1.99,3.43,4.41,1.95,3.5,4.33,0.5128205128205129,0.2857142857142857,0.23094688221709006,1.0294816807518887,0.49813466563676106,0.27753217085476684,0.22433316350847204
2018,2017-08-26,newcastle,west ham,3,0,2.3,0.6,2.3,3.4,3.4,NA,NA,NA,2.34,3.42,3.33,2.3,3.4,3.4,0.4347826086956522,0.29411764705882354,0.29411764705882354,1.0230179028132993,0.425,0.2875,0.2875
2018,2017-08-26,man united,leicester,2,0,2.8,0.9,1.33,5.5,11,NA,NA,NA,1.33,5.56,11.31,1.33,5.5,11,0.7518796992481203,0.18181818181818182,0.09090909090909091,1.024606971975393,0.733822548365577,0.17745163442294865,0.08872581721147432
2018,2017-08-27,chelsea,everton,2,0,1,0.4,1.45,4.5,8.5,NA,NA,NA,1.47,4.55,8.45,1.45,4.5,8.5,0.6896551724137931,0.2222222222222222,0.11764705882352941,1.0295244534595447,0.6698774080560421,0.2158493870402802,0.11427320490367776
2018,2017-08-27,west brom,stoke,1,1,0.8,1.3,2.4,3.1,3.5,NA,NA,NA,2.39,3.12,3.55,2.4,3.1,3.5,0.4166666666666667,0.3225806451612903,0.2857142857142857,1.0249615975422426,0.40651929561633576,0.3147246159610341,0.2787560884226302
2018,2017-08-27,tottenham,burnley,1,1,2.3,0.9,1.25,6.5,15,NA,NA,NA,1.26,6.45,14,1.25,6.5,15,0.8,0.15384615384615385,0.06666666666666667,1.0205128205128207,0.7839195979899497,0.1507537688442211,0.06532663316582914
2018,2017-08-27,liverpool,arsenal,4,0,3.1,0.6,2.15,3.7,3.5,NA,NA,NA,2.16,3.72,3.46,2.15,3.7,3.5,0.46511627906976744,0.27027027027027023,0.2857142857142857,1.0211008350543234,0.45550474850510025,0.2646851916989096,0.27981005979599016
2018,2017-09-09,man city,liverpool,5,0,2.4,0.7,1.85,4,4.2,NA,NA,NA,1.89,3.94,4.2,1.85,4,4.2,0.5405405405405405,0.25,0.23809523809523808,1.0286357786357785,0.5254926493587738,0.24304035032843294,0.23146700031279327
2018,2017-09-09,everton,tottenham,0,3,0.9,1.8,3.8,3.5,2.1,NA,NA,NA,3.94,3.5,2.08,3.8,3.5,2.1,0.2631578947368421,0.2857142857142857,0.47619047619047616,1.025062656641604,0.2567237163814181,0.2787286063569682,0.4645476772616137
2018,2017-09-09,arsenal,bournemouth,3,0,2.2,0.6,1.36,5.5,9,NA,NA,NA,1.39,5.59,8.29,1.36,5.5,9,0.7352941176470588,0.18181818181818182,0.1111111111111111,1.0282234105763517,0.7151112395261485,0.17682750650101128,0.10806125397284022
2018,2017-09-09,leicester,chelsea,1,2,1.4,0.8,4.75,3.9,1.8,NA,NA,NA,4.73,3.83,1.83,4.75,3.9,1.8,0.21052631578947367,0.25641025641025644,0.5555555555555556,1.0224921277552856,0.2058952925648922,0.2507699076110867,0.5433347998240211
2018,2017-09-09,brighton,west brom,3,1,0.4,1,2.7,3.1,3,NA,NA,NA,2.76,3,3.08,2.7,3.1,3,0.37037037037037035,0.3225806451612903,0.3333333333333333,1.026284348864994,0.3608847497089639,0.31431897555296856,0.3247962747380675
2018,2017-09-09,southampton,watford,0,2,0.3,0.7,1.65,4,6,NA,NA,NA,1.67,3.96,5.95,1.65,4,6,0.6060606060606061,0.25,0.16666666666666666,1.0227272727272727,0.5925925925925927,0.24444444444444444,0.16296296296296295
2018,2017-09-09,stoke,man united,2,2,1.2,2.1,7.5,4.5,1.5,NA,NA,NA,7.42,4.43,1.52,7.5,4.5,1.5,0.13333333333333333,0.2222222222222222,0.6666666666666666,1.0222222222222221,0.13043478260869565,0.21739130434782608,0.6521739130434783
