date,season_end_year,home_team,away_team,b365h,b365d,b365a,bbavh,bbavd,bbava,psh,psd,psa,o_h,o_d,o_a,imp_h_raw,imp_d_raw,imp_a_raw,overround,p_home,p_draw,p_away
2017-08-11,2018,Arsenal,Leicester,1.53,4.5,6.5,NA,NA,NA,1.53,4.55,6.85,1.53,4.5,6.5,0.6535947712418301,0.2222222222222222,0.15384615384615385,1.029663147310206,0.6347656250000001,0.2158203125,0.14941406250000003
2017-08-12,2018,Brighton,Man City,11,5.5,1.33,NA,NA,NA,10.95,5.55,1.34,11,5.5,1.33,0.09090909090909091,0.18181818181818182,0.7518796992481203,1.024606971975393,0.08872581721147432,0.17745163442294865,0.733822548365577
2017-08-12,2018,Chelsea,Burnley,1.25,6.5,15,NA,NA,NA,1.26,6.3,15.25,1.25,6.5,15,0.8,0.15384615384615385,0.06666666666666667,1.0205128205128207,0.7839195979899497,0.1507537688442211,0.06532663316582914
2017-08-12,2018,Crystal Palace,Huddersfield,1.83,3.6,5,NA,NA,NA,1.83,3.58,5.11,1.83,3.6,5,0.5464480874316939,0.2777777777777778,0.2,1.0242258652094718,0.5335230304108126,0.27120754045882983,0.19526942913035747
2017-08-12,2018,Everton,Stoke,1.7,3.8,5.75,NA,NA,NA,1.7,3.83,5.81,1.7,3.8,5.75,0.5882352941176471,0.2631578947368421,0.17391304347826086,1.02530623233275,0.5737166863594592,0.2566627281081791,0.16962058553236184
2017-08-12,2018,Southampton,Swansea,1.62,4,6.5,NA,NA,NA,1.64,3.94,6.35,1.62,4,6.5,0.6172839506172839,0.25,0.15384615384615385,1.0211301044634378,0.6045105789351314,0.24482678446872821,0.15066263659614043
2017-08-12,2018,Watford,Liverpool,6,4.2,1.62,NA,NA,NA,5.74,4.29,1.63,6,4.2,1.62,0.16666666666666666,0.23809523809523808,0.6172839506172839,1.0220458553791887,0.1630716134598792,0.23295944779982744,0.6039689387402933
2017-08-12,2018,West Brom,Bournemouth,2.4,3.3,3.3,NA,NA,NA,2.46,3.25,3.26,2.4,3.3,3.3,0.4166666666666667,0.30303030303030304,0.30303030303030304,1.0227272727272727,0.40740740740740744,0.29629629629629634,0.29629629629629634
2017-08-13,2018,Man United,West Ham,1.3,5.75,12,NA,NA,NA,1.33,5.68,10.85,1.3,5.75,12,0.7692307692307692,0.17391304347826086,0.08333333333333333,1.0264771460423634,0.7493890849850665,0.1694270974748846,0.08118381754004887
2017-08-13,2018,Newcastle,Tottenham,5.5,4,1.7,NA,NA,NA,5.35,4,1.71,5.5,4,1.7,0.18181818181818182,0.25,0.5882352941176471,1.0200534759358288,0.1782437745740498,0.24508519003931847,0.5766710353866318
2017-08-19,2018,Bournemouth,Watford,2,3.6,4,NA,NA,NA,1.98,3.63,4.16,2,3.6,4,0.5,0.2777777777777778,0.25,1.0277777777777777,0.4864864864864865,0.2702702702702703,0.24324324324324326
2017-08-19,2018,Burnley,West Brom,2.63,3.2,3,NA,NA,NA,2.64,3.17,3.07,2.63,3.2,3,0.3802281368821293,0.3125,0.3333333333333333,1.0260614702154627,0.3705705242028874,0.30456264957924806,0.32486682621786456
2017-08-19,2018,Leicester,Brighton,1.73,3.8,5.5,NA,NA,NA,1.74,3.85,5.43,1.73,3.8,5.5,0.5780346820809249,0.2631578947368421,0.18181818181818182,1.023010758635949,0.5650328476033415,0.2572386385141528,0.1777285138825056
2017-08-19,2018,Liverpool,Crystal Palace,1.36,5.25,9.5,NA,NA,NA,1.39,5.24,9.27,1.36,5.25,9.5,0.7352941176470588,0.19047619047619047,0.10526315789473684,1.031033466017986,0.7131622220633446,0.18474297562021877,0.1020948023164367
2017-08-19,2018,Southampton,West Ham,1.75,3.8,5.25,NA,NA,NA,1.71,3.96,5.43,1.75,3.8,5.25,0.5714285714285714,0.2631578947368421,0.19047619047619047,1.025062656641604,0.5574572127139364,0.2567237163814181,0.1858190709046455
2017-08-19,2018,Stoke,Arsenal,4.5,3.8,1.85,NA,NA,NA,4.39,3.85,1.88,4.5,3.8,1.85,0.2222222222222222,0.2631578947368421,0.5405405405405405,1.0259206574996047,0.21660761053766756,0.25650901247881686,0.5268833769835156
2017-08-19,2018,Swansea,Man United,11,5,1.36,NA,NA,NA,12.01,5.33,1.33,11,5,1.36,0.09090909090909091,0.2,0.7352941176470588,1.0262032085561497,0.08858780614903597,0.19489317352787913,0.7165190203230849
2017-08-20,2018,Huddersfield,Newcastle,2.5,3.25,3.2,NA,NA,NA,2.51,3.31,3.13,2.5,3.25,3.2,0.4,0.3076923076923077,0.3125,1.0201923076923078,0.3920829406220546,0.3016022620169651,0.30631479736098016
2017-08-20,2018,Tottenham,Chelsea,2.1,3.6,3.75,NA,NA,NA,2.08,3.58,3.85,2.1,3.6,3.75,0.47619047619047616,0.2777777777777778,0.26666666666666666,1.0206349206349206,0.4665629860031104,0.2721617418351478,0.26127527216174184
2017-08-21,2018,Man City,Everton,1.33,5.75,10,NA,NA,NA,1.31,5.88,11.27,1.33,5.75,10,0.7518796992481203,0.17391304347826086,0.1,1.025792742726381,0.7329742821632302,0.1695401383090602,0.09748557952770963
2017-08-26,2018,Bournemouth,Man City,11,6,1.3,NA,NA,NA,11.14,5.79,1.32,11,6,1.3,0.09090909090909091,0.16666666666666666,0.7692307692307692,1.0268065268065267,0.08853575482406358,0.1623155505107832,0.7491486946651532
2017-08-26,2018,Crystal Palace,Swansea,1.95,3.5,4.33,NA,NA,NA,1.99,3.43,4.41,1.95,3.5,4.33,0.5128205128205129,0.2857142857142857,0.23094688221709006,1.0294816807518887,0.49813466563676106,0.27753217085476684,0.22433316350847204
2017-08-26,2018,Huddersfield,Southampton,3.9,3.4,2.1,NA,NA,NA,4.01,3.45,2.08,3.9,3.4,2.1,0.25641025641025644,0.29411764705882354,0.47619047619047616,1.026718379659556,0.24973767051416584,0.28646379853095494,0.46379853095487933
2017-08-26,2018,Man United,Leicester,1.33,5.5,11,NA,NA,NA,1.33,5.56,11.31,1.33,5.5,11,0.7518796992481203,0.18181818181818182,0.09090909090909091,1.024606971975393,0.733822548365577,0.17745163442294865,0.08872581721147432
2017-08-26,2018,Newcastle,West Ham,2.3,3.4,3.4,NA,NA,NA,2.34,3.42,3.33,2.3,3.4,3.4,0.4347826086956522,0.29411764705882354,0.29411764705882354,1.0230179028132993,0.425,0.2875,0.2875
2017-08-26,2018,Watford,Brighton,1.91,3.4,4,NA,NA,NA,1.99,3.37,4.5,1.91,3.4,4,0.5235602094240838,0.29411764705882354,0.25,1.0676778564829073,0.4903728275762602,0.2754741472560756,0.23415302516766426
2017-08-27,2018,Chelsea,Everton,1.45,4.5,8.5,NA,NA,NA,1.47,4.55,8.45,1.45,4.5,8.5,0.6896551724137931,0.2222222222222222,0.11764705882352941,1.0295244534595447,0.6698774080560421,0.2158493870402802,0.11427320490367776
2017-08-27,2018,Liverpool,Arsenal,2.15,3.7,3.5,NA,NA,NA,2.16,3.72,3.46,2.15,3.7,3.5,0.46511627906976744,0.27027027027027023,0.2857142857142857,1.0211008350543234,0.45550474850510025,0.2646851916989096,0.27981005979599016
2017-08-27,2018,Tottenham,Burnley,1.25,6.5,15,NA,NA,NA,1.26,6.45,14,1.25,6.5,15,0.8,0.15384615384615385,0.06666666666666667,1.0205128205128207,0.7839195979899497,0.1507537688442211,0.06532663316582914
2017-08-27,2018,West Brom,Stoke,2.4,3.1,3.5,NA,NA,NA,2.39,3.12,3.55,2.4,3.1,3.5,0.4166666666666667,0.3225806451612903,0.2857142857142857,1.0249615975422426,0.40651929561633576,0.3147246159610341,0.2787560884226302
2017-09-09,2018,Arsenal,Bournemouth,1.36,5.5,9,NA,NA,NA,1.39,5.59,8.29,1.36,5.5,9,0.7352941176470588,0.18181818181818182,0.1111111111111111,1.0282234105763517,0.7151112395261485,0.17682750650101128,0.10806125397284022
2017-09-09,2018,Brighton,West Brom,2.7,3.1,3,NA,NA,NA,2.76,3,3.08,2.7,3.1,3,0.37037037037037035,0.3225806451612903,0.3333333333333333,1.026284348864994,0.3608847497089639,0.31431897555296856,0.3247962747380675
2017-09-09,2018,Everton,Tottenham,3.8,3.5,2.1,NA,NA,NA,3.94,3.5,2.08,3.8,3.5,2.1,0.2631578947368421,0.2857142857142857,0.47619047619047616,1.025062656641604,0.2567237163814181,0.2787286063569682,0.4645476772616137
2017-09-09,2018,Leicester,Chelsea,4.75,3.9,1.8,NA,NA,NA,4.73,3.83,1.83,4.75,3.9,1.8,0.21052631578947367,0.25641025641025644,0.5555555555555556,1.0224921277552856,0.2058952925648922,0.2507699076110867,0.5433347998240211
2017-09-09,2018,Man City,Liverpool,1.85,4,4.2,NA,NA,NA,1.89,3.94,4.2,1.85,4,4.2,0.5405405405405405,0.25,0.23809523809523808,1.0286357786357785,0.5254926493587738,0.24304035032843294,0.23146700031279327
2017-09-09,2018,Southampton,Watford,1.65,4,6,NA,NA,NA,1.67,3.96,5.95,1.65,4,6,0.6060606060606061,0.25,0.16666666666666666,1.0227272727272727,0.5925925925925927,0.24444444444444444,0.16296296296296295
2017-09-09,2018,Stoke,Man United,7.5,4.5,1.5,NA,NA,NA,7.42,4.43,1.52,7.5,4.5,1.5,0.13333333333333333,0.2222222222222222,0.6666666666666666,1.0222222222222221,0.13043478260869565,0.21739130434782608,0.6521739130434783
2017-09-10,2018,Burnley,Crystal Palace,2.3,3.25,3.5,NA,NA,NA,2.36,3.23,3.48,2.3,3.25,3.5,0.4347826086956522,0.3076923076923077,0.2857142857142857,1.0281892021022456,0.4228624535315985,0.2992565055762082,0.2778810408921933
2017-09-10,2018,Swansea,Newcastle,2.4,3.25,3.3,NA,NA,NA,2.41,3.28,3.32,2.4,3.25,3.3,0.4166666666666667,0.3076923076923077,0.30303030303030304,1.0273892773892774,0.4055587067498582,0.29948950652297224,0.2949517867271696
2017-09-11,2018,West Ham,Huddersfield,1.95,3.5,4.5,NA,NA,NA,1.97,3.46,4.46,1.95,3.5,4.5,0.5128205128205129,0.2857142857142857,0.2222222222222222,1.0207570207570207,0.5023923444976077,0.2799043062200957,0.21770334928229665
2017-09-15,2018,Bournemouth,Brighton,2.15,3.4,3.8,NA,NA,NA,2.17,3.44,3.74,2.15,3.4,3.8,0.46511627906976744,0.29411764705882354,0.2631578947368421,1.022391820865433,0.45492957746478874,0.2876760563380282,0.2573943661971831
2017-09-16,2018,Crystal Palace,Southampton,3,3.3,2.6,NA,NA,NA,2.99,3.32,2.6,3,3.3,2.6,0.3333333333333333,0.30303030303030304,0.3846153846153846,1.0209790209790208,0.3264840182648402,0.29680365296803657,0.3767123287671233
2017-09-16,2018,Huddersfield,Leicester,3.5,3.4,2.25,NA,NA,NA,3.46,3.42,2.28,3.5,3.4,2.25,0.2857142857142857,0.29411764705882354,0.4444444444444444,1.0242763772175536,0.2789425706472197,0.2871467639015497,0.43391066545123064
2017-09-16,2018,Liverpool,Burnley,1.29,6,13,NA,NA,NA,1.27,6.3,13.45,1.29,6,13,0.7751937984496123,0.16666666666666666,0.07692307692307693,1.0187835420393558,0.7609013754755634,0.16359379572724614,0.07550482879719053
2017-09-16,2018,Newcastle,Stoke,2.38,3.25,3.4,NA,NA,NA,2.37,3.23,3.46,2.38,3.25,3.4,0.42016806722689076,0.3076923076923077,0.29411764705882354,1.0219780219780221,0.4111321948134092,0.30107526881720426,0.28779253636938645
2017-09-16,2018,Tottenham,Swansea,1.22,7,15,NA,NA,NA,1.25,6.7,14,1.22,7,15,0.819672131147541,0.14285714285714285,0.06666666666666667,1.0291959406713505,0.7964199029126214,0.13880461165048544,0.06477548543689321
2017-09-16,2018,Watford,Man City,9,6,1.33,NA,NA,NA,9.83,5.64,1.35,9,6,1.33,0.1111111111111111,0.16666666666666666,0.7518796992481203,1.0296574770258982,0.10791075050709938,0.16186612576064907,0.7302231237322514
2017-09-16,2018,West Brom,West Ham,2.38,3.25,3.4,NA,NA,NA,2.36,3.27,3.43,2.38,3.25,3.4,0.42016806722689076,0.3076923076923077,0.29411764705882354,1.0219780219780221,0.4111321948134092,0.30107526881720426,0.28779253636938645
2017-09-17,2018,Chelsea,Arsenal,1.8,4,4.5,NA,NA,NA,1.81,4.02,4.57,1.8,4,4.5,0.5555555555555556,0.25,0.2222222222222222,1.0277777777777777,0.5405405405405406,0.24324324324324326,0.21621621621621623
2017-09-17,2018,Man United,Everton,1.36,5.25,10,NA,NA,NA,1.35,5.3,10.93,1.36,5.25,10,0.7352941176470588,0.19047619047619047,0.1,1.0257703081232492,0.7168214090660842,0.18569087930092845,0.09748771163298746
2017-09-23,2018,Burnley,Huddersfield,2.15,3.25,3.9,NA,NA,NA,2.21,3.23,3.89,2.15,3.25,3.9,0.46511627906976744,0.3076923076923077,0.25641025641025644,1.0292188431723315,0.45191193511008115,0.29895712630359217,0.24913093858632682
2017-09-23,2018,Everton,Bournemouth,1.65,4,5.75,NA,NA,NA,1.72,3.92,5.43,1.65,4,5.75,0.6060606060606061,0.25,0.17391304347826086,1.029973649538867,0.5884234090182283,0.24272465622001918,0.16885193476175248
2017-09-23,2018,Leicester,Liverpool,4.1,3.9,1.91,NA,NA,NA,4.27,3.87,1.89,4.1,3.9,1.91,0.24390243902439027,0.25641025641025644,0.5235602094240838,1.0238729048587305,0.23821554205308604,0.25043172369683403,0.5113527342500799
2017-09-23,2018,Man City,Crystal Palace,1.14,10,21,NA,NA,NA,1.15,10,18.5,1.14,10,21,0.8771929824561404,0.1,0.047619047619047616,1.024812030075188,0.8559550012227929,0.0975788701393984,0.04646612863780875
2017-09-23,2018,Southampton,Man United,5.5,3.8,1.73,NA,NA,NA,5.35,3.82,1.75,5.5,3.8,1.73,0.18181818181818182,0.2631578947368421,0.5780346820809249,1.023010758635949,0.1777285138825056,0.2572386385141528,0.5650328476033415
2017-09-23,2018,Stoke,Chelsea,6,4.1,1.62,NA,NA,NA,5.69,4.25,1.64,6,4.1,1.62,0.16666666666666666,0.24390243902439027,0.6172839506172839,1.0278530563083408,0.16215028563058445,0.23729310092280653,0.600556613446609
2017-09-23,2018,Swansea,Watford,2.4,3.3,3.25,NA,NA,NA,2.43,3.29,3.28,2.4,3.3,3.25,0.4166666666666667,0.30303030303030304,0.3076923076923077,1.0273892773892774,0.4055587067498582,0.2949517867271696,0.29948950652297224
2017-09-23,2018,West Ham,Tottenham,6,4.33,1.6,NA,NA,NA,5.95,4.36,1.61,6,4.33,1.6,0.16666666666666666,0.23094688221709006,0.625,1.0226135488837567,0.16298108591323987,0.22583984191211068,0.6111790721746495
2017-09-24,2018,Brighton,Newcastle,2.8,3.1,2.9,NA,NA,NA,2.78,3.1,2.96,2.8,3.1,2.9,0.35714285714285715,0.3225806451612903,0.3448275862068966,1.024551088511044,0.34858472276075997,0.3148507173322993,0.3365645599069407
2017-09-25,2018,Arsenal,West Brom,1.33,5.5,11,NA,NA,NA,1.36,5.45,10,1.33,5.5,11,0.7518796992481203,0.18181818181818182,0.09090909090909091,1.024606971975393,0.733822548365577,0.17745163442294865,0.08872581721147432
2017-09-30,2018,Bournemouth,Leicester,2.8,3.25,2.5,NA,NA,NA,2.9,3.48,2.58,2.8,3.25,2.5,0.35714285714285715,0.3076923076923077,0.4,1.064835164835165,0.33539731682146534,0.2889576883384932,0.3756449948400412
